año;mes;sigla;provincia;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2021;Marzo;SE;Segovia;119;0.816449747;33;1.016009852
2021;Abril;AV;Ávila;168;1.127433545;51;1.189365672
2021;Abril;BU;Burgos;344;0.988383619;91;1.153651116
2021;Abril;SE;Segovia;135;0.925767187;51;1.570197044
2021;Abril;SO;Soria;101;1.158482732;24;0.861450108
2021;Abril;VA;Valladolid;408;0.785527805;99;1.121685928
2021;Abril;ZA;Zamora;209;1.337565758;51;1.009701049
2021;Mayo;LE;León;516;1.19952298;89;0.975877193
2021;Mayo;PA;Palencia;155;1.018945818;43;0.823439295
2021;Mayo;SO;Soria;79;0.906077602;18;0.646087581
2021;Mayo;VA;Valladolid;404;0.777868486;91;1.031044641
2021;Junio;BU;Burgos;136;0.391261069;47;0.595841785
2021;Junio;SE;Segovia;99;0.678584158;29;0.892857143
2021;Junio;SO;Soria;49;0.562087755;14;0.502512563
2021;Julio;SE;Segovia;134;0.916496249;41;1.262315271
2021;Julio;SO;Soria;117;1.339776475;35;1.256281407
2021;Julio;VA;Valladolid;579;1.113335218;181;2.050759121
2021;Julio;ZA;Zamora;260;1.660726376;78;1.544248664
2021;Agosto;SO;Soria;100;1.146986294;28;1.005025126
2021;Septiembre;SA;Salamanca;283;0.891074768;78;0.9452254
2021;Septiembre;SE;Segovia;99;0.676058646;33;1.016009852
2021;Septiembre;ZA;Zamora;175;1.119333773;41;0.811720451
2021;Octubre;LE;León;463;1.077348002;99;1.085526316
2021;Octubre;PA;Palencia;149;0.980656711;46;0.880888548
2021;Noviembre;BU;Burgos;306;0.879171395;101;1.280425963
2021;Noviembre;SA;Salamanca;327;1.027213299;103;1.248182259
2021;Noviembre;SO;Soria;99;1.136350593;27;0.969131371
2021;Noviembre;ZA;Zamora;213;1.360500766;56;1.108691348
2021;Diciembre;AV;Ávila;216;1.442172874;66;1.539179104
2021;Diciembre;BU;Burgos;345;0.990647711;109;1.381845842
2021;Diciembre;SA;Salamanca;324;1.017808507;105;1.272418808
2021;Diciembre;SO;Soria;110;1.262293013;40;1.435750179
2020;Enero;BU;Burgos;430;1.230645946;147;1.943930177
2020;Enero;SE;Segovia;159;1.089108233;57;1.758716446
2020;Enero;ZA;Zamora;281;1.769844619;62;1.335631193
2020;Febrero;AV;Ávila;161;1.081451429;56;1.304753029
2020;Febrero;LE;León;545;1.255743008;140;1.645510108
2020;Febrero;ZA;Zamora;199;1.254776347;55;1.184834123
2020;Marzo;AV;Ávila;256;1.720314495;88;2.050326188
2020;Marzo;PA;Palencia;199;1.297414299;63;1.23094959
2020;Marzo;SE;Segovia;273;1.869274064;126;3.887688985
2020;Marzo;VA;Valladolid;550;1.055988511;195;2.205632847
2020;Abril;BU;Burgos;597;1.709010234;278;3.676276117
2020;Abril;LE;León;959;2.212807982;389;4.572167372
2020;Abril;PA;Palencia;286;1.867035722;126;2.461899179
2020;Abril;SO;Soria;315;3.608660786;153;5.435168739
2020;Mayo;SA;Salamanca;486;1.516068454;208;2.613393642
2020;Mayo;SE;Segovia;145;0.997420464;53;1.635297748
2020;Mayo;SO;Soria;121;1.389957842;46;1.63410302
2020;Mayo;ZA;Zamora;237;1.49997152;77;1.658767773
2020;Junio;BU;Burgos;339;0.974801805;115;1.520761703
2020;Junio;SE;Segovia;132;0.90787166;49;1.51187905
2020;Julio;LE;León;598;1.384608617;174;2.045133992
2020;Julio;PA;Palencia;178;1.164144354;63;1.23094959
2020;Agosto;LE;León;516;1.194837192;140;1.645510108
2020;Septiembre;BU;Burgos;329;0.944992259;92;1.216609363
2020;Septiembre;SA;Salamanca;319;0.999019771;98;1.231310466
2020;Septiembre;ZA;Zamora;221;1.400613481;49;1.055579492
2020;Octubre;AV;Ávila;171;1.151476381;49;1.1416589
2020;Octubre;BU;Burgos;368;1.056584705;112;1.481089659
2020;Octubre;SA;Salamanca;404;1.263957501;128;1.608242241
2020;Octubre;SE;Segovia;139;0.956292612;41;1.265041654
2020;Octubre;VA;Valladolid;516;0.994330773;157;1.775817215
2020;Noviembre;SA;Salamanca;367;1.146280367;107;1.344389999
2020;Noviembre;VA;Valladolid;606;1.166746568;201;2.273498473
2020;Diciembre;SA;Salamanca;382;1.19445174;95;1.193617289
2020;Enero;VA;Valladolid;521;1.00064533;164;1.854993779
2020;Febrero;SA;Salamanca;303;0.942718202;79;0.992587008
2020;Febrero;SE;Segovia;168;1.150031147;68;2.098117865
2020;Febrero;SO;Soria;105;1.202253366;30;1.065719361
2020;Marzo;BU;Burgos;391;1.119176561;125;1.653001851
2020;Marzo;LE;León;640;1.475232234;187;2.197931359
